sentiment,text
POSITIVE,"I have gone to Silvercreek several times -  for Brunch, Lunch, and Dinner and also been to many upscale dining establishments.   The food is amazing.  I"
NEGATIVE,"This place is an absolute joke! I don't even know how this lady ""Nina"" has a shop. Her work is very poor quality, she is rude and does nothing but"
NEGATIVE,"The  food  is  NOT  good , but  the  music  is  nice  ,and  the  service  is  fine. "
POSITIVE,"This is definitely one of my favourite spots for Szechuan food. Prices are a little toward the high side, but the food and impeccable service are totally worth it."
NEGATIVE,First time ordering food from Marco's. We decided to do take out to test it out. Ordered the margarita pizza and baked ziti with meat sauce.The pizza dough was soggy
NEGATIVE,"220 dollar meal, and the entre was inedible. I sent it back. Yes, they told me I didn't need to pay for it - but that's not remotely the point."
NEGATIVE,I'm a little torn. I had high hopes for this place. The building is really cute and they've done a beautiful job on the inside. It's looks like a really
NEGATIVE,"One of the most unprofessional einsteins I've been to by far! Staff ignored me for a good 5 mins, the girl who took my order seemed bothered to do her"
NEGATIVE,Hooter's was priced well but I would pay $10 or $20 more a night for anything better. They also did not tell me about the resort fee when the room
POSITIVE,I went by their shop the other day because something felt weird with what I thought was my transmission. I had called and Josh said they were quite busy but
NEGATIVE,The Hotel Manager Ryan should look for another career.. I had a company deliver a honeymoon gift to my friend and her new hubby who were staying at the hotel..They
POSITIVE,"Dr. Greenberg is attentive, caring and listened to all of my concerns. He made me feel comfortable before my laser procedure and calmed my nerves. I recommend him to all"
POSITIVE,"I was there everyday for the month of March for Spring training. The place is friendly and the prices can not be bet. I had one bad server, but management"
NEGATIVE,So excited to finally try this place (even checked in on Yelp) but not pleased. Came in at 12:20am on a Saturday when they're open until 1:00am. The female Asian
NEGATIVE,How disappointing. I had my reservations with the economic price and bad reviews on yelp but thought we'd give it a shot. Disappointed. This really brings the SLS image down.
POSITIVE,"Solid fast Mexican food.  Enchiladas, nachos, and rolled tacos are good.  Will try more stuff later."
NEGATIVE,"Food was okay, but horrible service! Our waitress barely came around & gave us attitude when we were ordering. I think Tawny was her name?"
POSITIVE,"I've only been there once (so far) - for lunch.  The atmosphere is nothing spectacular, but the burgers are.. oh, the burgers.Get the ""perfect burger"" - you can't go"
NEGATIVE,"This place ought to be re-named 'The Unfriendly Hipster', since that's most of their patrons to a t. Smoke everywhere, absolutely jam packed with barely any room to stand on"
